epoch,train_mse,val_mse
1,0.9170483286,0.9128233798
2,0.9170369420,0.9128214605
3,0.9170255668,0.9128195423
4,0.9170142028,0.9128176252
5,0.9170028500,0.9128157093
6,0.9169915085,0.9128137945
7,0.9169801782,0.9128118808
8,0.9169688590,0.9128099683
9,0.9169575509,0.9128080568
10,0.9169462540,0.9128061465
11,0.9169349682,0.9128042373
12,0.9169236934,0.9128023292
13,0.9169124297,0.9128004221
14,0.9169011770,0.9127985162
15,0.9168899353,0.9127966114
16,0.9168787045,0.9127947076
17,0.9168674847,0.9127928050
18,0.9168562758,0.9127909034
19,0.9168450778,0.9127890030
20,0.9168338907,0.9127871036
21,0.9168227144,0.9127852052
22,0.9168115489,0.9127833080
23,0.9168003942,0.9127814118
24,0.9167892502,0.9127795167
25,0.9167781170,0.9127776227
26,0.9167669945,0.9127757297
27,0.9167558827,0.9127738378
28,0.9167447816,0.9127719469
29,0.9167336911,0.9127700571
30,0.9167226112,0.9127681683
31,0.9167115420,0.9127662806
32,0.9167004833,0.9127643939
33,0.9166894351,0.9127625083
34,0.9166783975,0.9127606237
35,0.9166673703,0.9127587401
36,0.9166563536,0.9127568576
37,0.9166453474,0.9127549761
38,0.9166343516,0.9127530956
39,0.9166233662,0.9127512161
40,0.9166123912,0.9127493377
41,0.9166014265,0.9127474603
42,0.9165904722,0.9127455839
43,0.9165795282,0.9127437085
44,0.9165685944,0.9127418341
45,0.9165576710,0.9127399607
46,0.9165467577,0.9127380884
47,0.9165358547,0.9127362170
48,0.9165249618,0.9127343466
49,0.9165140792,0.9127324772
50,0.9165032066,0.9127306088
51,0.9164923442,0.9127287414
52,0.9164814919,0.9127268750
53,0.9164706497,0.9127250096
54,0.9164598175,0.9127231451
55,0.9164489953,0.9127212817
56,0.9164381832,0.9127194192
57,0.9164273810,0.9127175576
58,0.9164165888,0.9127156971
59,0.9164058065,0.9127138375
60,0.9163950341,0.9127119789
61,0.9163842717,0.9127101212
62,0.9163735191,0.9127082645
63,0.9163627763,0.9127064088
64,0.9163520434,0.9127045540
65,0.9163413203,0.9127027001
66,0.9163306070,0.9127008472
67,0.9163199034,0.9126989953
68,0.9163092096,0.9126971443
69,0.9162985254,0.9126952942
70,0.9162878510,0.9126934451
71,0.9162771863,0.9126915969
72,0.9162665312,0.9126897497
73,0.9162558857,0.9126879033
74,0.9162452498,0.9126860579
75,0.9162346235,0.9126842135
76,0.9162240068,0.9126823699
77,0.9162133996,0.9126805273
78,0.9162028019,0.9126786856
79,0.9161922138,0.9126768448
80,0.9161816351,0.9126750049
