epoch,train_ce,val_ce
1,1.6086113716,1.6086919724
2,1.6077862776,1.6079474404
3,1.6069626294,1.6072043152
4,1.6061404259,1.6064625957
5,1.6053196661,1.6057222808
6,1.6045003489,1.6049833692
7,1.6036824732,1.6042458600
8,1.6028660380,1.6035097518
9,1.6020510421,1.6027750436
10,1.6012374844,1.6020417342
11,1.6004253640,1.6013098224
12,1.5996146796,1.6005793071
13,1.5988054301,1.5998501870
14,1.5979976145,1.5991224609
15,1.5971912317,1.5983961277
16,1.5963862804,1.5976711863
17,1.5955827597,1.5969476353
18,1.5947806683,1.5962254735
19,1.5939800050,1.5955046999
20,1.5931807689,1.5947853131
21,1.5923829587,1.5940673119
22,1.5915865732,1.5933506951
23,1.5907916114,1.5926354615
24,1.5899980720,1.5919216098
25,1.5892059538,1.5912091388
26,1.5884152558,1.5904980473
27,1.5876259767,1.5897883339
28,1.5868381153,1.5890799975
29,1.5860516705,1.5883730368
30,1.5852666410,1.5876674505
31,1.5844830257,1.5869632374
32,1.5837008233,1.5862603961
33,1.5829200327,1.5855589254
34,1.5821406525,1.5848588240
35,1.5813626817,1.5841600906
36,1.5805861190,1.5834627239
37,1.5798109630,1.5827667227
38,1.5790372128,1.5820720856
39,1.5782648668,1.5813788112
40,1.5774939240,1.5806868984
41,1.5767243831,1.5799963458
42,1.5759562428,1.5793071520
43,1.5751895018,1.5786193157
44,1.5744241590,1.5779328356
45,1.5736602129,1.5772477103
46,1.5728976624,1.5765639386
47,1.5721365062,1.5758815191
48,1.5713767429,1.5752004503
49,1.5706183714,1.5745207310
50,1.5698613902,1.5738423598
51,1.5691057981,1.5731653353
52,1.5683515939,1.5724896562
53,1.5675987761,1.5718153210
54,1.5668473434,1.5711423285
55,1.5660972946,1.5704706771
56,1.5653486284,1.5698003656
57,1.5646013433,1.5691313926
58,1.5638554381,1.5684637565
59,1.5631109114,1.5677974561
60,1.5623677619,1.5671324899
61,1.5616259882,1.5664688566
62,1.5608855889,1.5658065546
63,1.5601465629,1.5651455826
64,1.5594089085,1.5644859392
65,1.5586726246,1.5638276229
66,1.5579377096,1.5631706322
67,1.5572041624,1.5625149659
68,1.5564719813,1.5618606223
69,1.5557411652,1.5612076001
70,1.5550117125,1.5605558978
71,1.5542836219,1.5599055139
72,1.5535568920,1.5592564470
73,1.5528315214,1.5586086957
74,1.5521075087,1.5579622584
75,1.5513848525,1.5573171337
76,1.5506635513,1.5566733201
77,1.5499436037,1.5560308161
78,1.5492250083,1.5553896203
79,1.5485077637,1.5547497311
80,1.5477918684,1.5541111471
81,1.5470773211,1.5534738667
82,1.5463641201,1.5528378884
83,1.5456522642,1.5522032108
84,1.5449417518,1.5515698324
85,1.5442325815,1.5509377515
86,1.5435247519,1.5503069668
87,1.5428182614,1.5496774766
88,1.5421131086,1.5490492795
89,1.5414092920,1.5484223739
90,1.5407068102,1.5477967582
91,1.5400056616,1.5471724310
92,1.5393058448,1.5465493907
93,1.5386073582,1.5459276358
94,1.5379102005,1.5453071646
95,1.5372143700,1.5446879757
96,1.5365198654,1.5440700674
97,1.5358266850,1.5434534383
98,1.5351348273,1.5428380867
99,1.5344442909,1.5422240111
100,1.5337550742,1.5416112100
101,1.5330671757,1.5409996816
102,1.5323805939,1.5403894245
103,1.5316953273,1.5397804370
104,1.5310113742,1.5391727176
105,1.5303287332,1.5385662647
106,1.5296474027,1.5379610767
107,1.5289673812,1.5373571519
108,1.5282886672,1.5367544888
109,1.5276112589,1.5361530858
110,1.5269351550,1.5355529412
111,1.5262603538,1.5349540534
112,1.5255868538,1.5343564209
113,1.5249146534,1.5337600419
114,1.5242437511,1.5331649150
115,1.5235741451,1.5325710383
116,1.5229058341,1.5319784104
117,1.5222388163,1.5313870295
118,1.5215730902,1.5307968941
119,1.5209086542,1.5302080025
120,1.5202455067,1.5296203529
