epoch,mse
1,0.9482736799
2,0.9482734479
3,0.9482731783
4,0.9482729086
5,0.9482726390
6,0.9482723694
7,0.9482720998
8,0.9482718303
9,0.9482715607
10,0.9482712912
11,0.9482710217
12,0.9482707523
13,0.9482704828
14,0.9482702134
15,0.9482699440
16,0.9482696746
17,0.9482694052
18,0.9482691359
19,0.9482688666
20,0.9482685973
21,0.9482683281
22,0.9482680588
23,0.9482677896
24,0.9482675204
25,0.9482672512
26,0.9482669821
27,0.9482667129
28,0.9482664438
29,0.9482661747
30,0.9482659057
31,0.9482656366
32,0.9482653676
33,0.9482650986
34,0.9482648297
35,0.9482645607
36,0.9482642918
37,0.9482640229
38,0.9482637540
39,0.9482634851
40,0.9482632163
