epoch,train_mse,val_mse
1,0.9283104178,1.3607470859
2,0.9283140916,1.3607456406
3,0.9283184653,1.3607439330
4,0.9283227125,1.3607422497
5,0.9283268365,1.3607405894
6,0.9302557613,1.3540461391
7,0.9283356111,1.3607373787
8,0.9294198115,1.3556621725
9,0.9283430999,1.3607342147
10,0.9283466427,1.3607326526
11,0.9285194872,1.3585093418
12,0.9283533028,1.3607295822
13,0.9283565333,1.3607280640
14,0.9283596640,1.3607265587
15,0.9283626969,1.3607246869
16,0.9283656343,1.3607226707
17,0.9283684782,1.3607206656
18,0.9283712306,1.3607186708
